date,group,location,number
11/9/2021,Ukrainian Military Killed,Hirske,1
12/9/2021,Ukrainian Military Killed,Ocheretyne,1
13/9/2021,Ukrainian Military Killed,Hirske,1
13/9/2021,Armed Groups Killed,Unknown,1
17/9/2021,Armed Groups Killed,Horlivka,1
21/9/2021,Armed Groups Killed,Unknown,1
12/9/2021,Ukrainian Military Killed,Hirske,1
24/9/2021,Armed Groups Killed,Unknown,1
26/9/2021,Armed Groups Killed,Kadiivka,1
26/9/2021,Ukrainian Military Killed,Unknown,1
28/9/2021,Armed Groups Killed,Kadiivka,1
30/9/2021,Ukrainian Military Killed,Ocheretyne,1
2/10/2021,Armed Groups Killed,Novoazovsk,1
10/10/2021,Armed Groups Killed,Horlivka,1
18/10/2021,Armed Groups Killed,Debaltseve,1
20/11/2021,Armed Groups Killed,Unknown,1
22/10/2021,Armed Groups Killed,Dokuchayivsk,1
22/10/2021,Armed Groups Killed,Dokuchayivsk,1
23/10/2021,Armed Groups Killed,Horlivka,1
25/10/2021,Armed Groups Killed,Unknown,1
26/10/2021,Ukrainian Military Killed,Myrne,1
27/10/2021,Ukrainian Military Killed,Hirske,1
28/10/2021,Armed Groups Killed,Unknown,1
2/11/2021,Armed Groups Killed,Unknown,1
2/11/2021,Ukrainian Military Killed,Sartana,1
4/11/2021,Armed Groups Killed,Donetsk,1
7/11/2021,Ukrainian Military Killed,Popasna,1
7/11/2021,Armed Groups Killed,Horlivka,1
11/11/2021,Armed Groups Killed,Zymohirya,1
12/11/2021,Ukrainian Military Killed,Nyzhnioteple,1
12/11/2021,Ukrainian Military Killed,Nyzhnioteple,1
19/11/2021,Ukrainian Military Killed,Hirske,1
20/11/2021,Armed Groups Killed,Unknown,1
26/11/2021,Ukrainian Military Killed,Mariinka,1
28/11/2021,Armed Groups Killed,Zymohirya,1
29/10/2021,Civilian Killed,Sartana,1
1/12/2021,Ukrainian Military Killed,Olhynka,1
10/12/2021,Armed Groups Killed,Donetsk,1
10/12/2021,Armed Groups Killed,Donetsk,1
16/12/2021,Ukrainian Military Killed,Sartana,1
30/10/2021,Civilian Killed,Horlivka,1
18/12/2021,Armed Groups Killed,Kadiivka,1
